Universitas,Prodi,Rank
institut teknologi dan bisnis arungpalakka,bisnis digital,999.0
institut digital ekonomi lpkia,administrasi bisnis,999.0
iain kendari,manajemen bisnis syariah,999.0
universitas muhammadiyah kalimantan timur,akuntansi,999.0
stai nida el adabi parung panjang bogor,manajemen bisnis syariah,999.0
universitas ichsan sidenreng rappang,manajemen,999.0
sekolah tinggi sains islam bina cendekia utama cirebon,ekonomi syariah,999.0
universitas sumatera utara,gizi,14.0
sekolah tinggi ilmu kesehatan bhakti pertiwi luwu raya,farmasi,999.0
sekolah tinggi ilmu farmasi riau,farmasi,999.0
politeknik kesehatan kementerian kesehatan malang,kebidanan,999.0
politeknik kesehatan kementerian kesehatan bengkulu,teknologi laboratorium medis,999.0
politeknik prasetiya mandiri,komputerisasi akuntansi,999.0
universitas udayana,keperawatan,999.0
universitas sebelas april,kesehatan masyarakat,999.0
universitas perintis indonesia,keperawatan,999.0
universitas aisyah pringsewu,farmasi,999.0
universitas aisyiyah yogyakarta,gizi,999.0
sekolah tinggi ilmu kesehatan mitra ria husada jakarta,kesehatan masyarakat,999.0
politeknik kesehatan kementerian kesehatan kupang,keperawatan,999.0
politeknik kesehatan kementerian kesehatan denpasar,sanitasi lingkungan,999.0
politeknik kesehatan kementerian kesehatan denpasar,sanitasi,999.0
politeknik kesehatan kementerian kesehatan bengkulu,gizi,999.0
politeknik kesehatan kementerian kesehatan bengkulu,sanitasi,999.0
politekknik kesehatan kementerian kesehatan riau,keperawatan,999.0
universitas sari mutiara indonesia,kebidanan,999.0
universitas muhammadiyah surabaya,pendidikan dokter,999.0
universitas airlangga,keperawatan,4.0
politeknik kesehatan kementerian kesehatan kendari,gizi,999.0
sekolah tinggi agama kristen nabire,teologi,999.0
politeknik omna trisakti chandra,pengelolaan pariwisata global,999.0
institut seni indonesia surakarta,arsitektur,999.0
institut seni indonesia surakarta,tata kelola seni,999.0
institut seni indonesia surakarta,destinasi pariwisata,999.0
universitas lambung mangkurat,antropologi,999.0
universitas insaniah sumatera utara,hukum tatan negara,999.0
universitas insaniah sumatera utara,hukum pidana islam,999.0
universitas sulawesi barat,sumber daya akuatik,999.0
politeknik prasetiya mandiri,teknik otomotif,999.0
politeknik prasetiya mandiri,administrasi niaga,999.0
politeknik prasetiya mandiri,akuntansi,999.0
sekolah tinggi agama kristen sabda holistik malang,terapan ministri kristen,999.0
politeknik bombana,pengelolaan perkebunan,999.0
universitas mathla ul anwar,teknologi pangan,999.0
politeknik bisnis dan pasar modal,manajemen aktuaria,999.0
universitas prima indonesia,arsitektur,999.0
universitas ichsan gorontalo utara,ilmu hukum,999.0
stih litigasi,ilmu hukum,999.0
universitas bali internasional,hubungan internasional,999.0
universitas hasanuddin,agribisnis pangan,11.0
sekolah tinggi agama islam sidogiri pasuruan,psikologi islam,999.0
universitas al washliyah darussalam banda aceh,agribisnis,999.0
universitas al washliyah darussalam banda aceh,agroteknologi,999.0
universitas adiwangsa jambi,hukum,999.0
institut pertanian bogor,smart agriculture,5.0
politeknik prasetiya mandiri,usaha perjalanan wisata,999.0
universitas citra bangsa,pengelolaan perhotelan,999.0
universitas islam syarifuddin lumajang,manajemen dakwah,999.0
universitas islam syarifuddin lumajang,komunikasi dan penyiaran islam,999.0
universitas jenderal soedirman,sastra indonesia,999.0
universitas sebelas maret,penyuluhan dan komunikasi pertanian,13.0
universitas atma jaya yogyakarta,hukum,999.0
universitas islam negeri fatmawati sukarno bengkulu,hukum ekonomi syariah,999.0
universitas merdeka pasuruan,agroteknologi,999.0
universitas bina darma,sastra inggris,999.0
sekolah tinggi teologi abdi gusti nganjuk,teologi,999.0
universitas islam indonesia,hukum keluarga,25.0
universitas riau,pemanfaatan sumber daya perikanan,999.0
universitas pakuan,ilmu hukum,999.0
universitas islam syarifuddin lumajang,bimbingan dan konseling islam,999.0
universitas musi rawas,administrasi publik,999.0
universitas dharma wacana,sistem informasi,999.0
universitas gadjah mada,bahasa dan sastra indonesia,2.0
universitas brawijaya,arsitektur,9.0
universitas diponegoro,perikanan tangkap,8.0
universitas negeri jakarta,sastra indonesia,999.0
universitas 17 agustus 1945 cirebon,perhotelan,999.0
universitas suryakancana,ilmu hukum,999.0
universitas airlangga,psikologi,4.0
